ID,shape,numAg,massDensity,volAtom,coordinateNumber,lengthBond,errBond,numBond,angle,errAngle,numAngle,nSurfaceAtoms,diameter,aspectRatio,popFCC,popHCP,popICOS,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,SCN11,Efermi,IP,EA,Eg,popSurface,coordNumberNormalised,amorph
Ag501-GRC,GRC,501,10.578,16.933,9.96,2.948,0.114,0.1530593151624774,96.42,35.61,23790,204,0.4895513337513567,0.05917293745527556,0.8383838379999999,0.0,0.0,0.0,0.0,0.0,0.352941176,0.176470588,0.352941176,0.117647059,0.0,0.0,-3.7899,4.3407,3.2394,1.1013,0.40718562874251496,0.8300000000000001,0.16161616200000006
Ag507-SRC,SRC,507,10.08,17.77,9.94,2.949,0.11800000000000001,0.15455622778020334,96.42,35.63,23934,186,0.4974549280514036,0.027960885166914414,0.6261682239999999,0.0,0.0,0.0,0.0,0.0,0.0,0.709677419,0.032258065,0.258064516,0.0,0.0,-3.7985,4.3456,3.2516,1.094,0.3668639053254438,0.8283333333333333,0.37383177600000006
Ag513-TR,TR,513,5.422000000000001,33.037,9.94,2.948,0.11599999999999999,0.15642736855236075,96.43,35.88,24102,234,0.49897793534434476,0.22104847877563,0.634408602,0.0,0.0,0.0,0.0,0.025641026,0.102564103,0.153846154,0.205128205,0.512820513,0.0,0.0,-3.7134,4.2493,3.1785,1.0708,0.45614035087719296,0.8283333333333333,0.36559139799999996
Ag520-DH,DH,520,9.632,18.596,10.15,2.9560000000000004,0.096,0.1619784195097611,96.26,35.26,25258,243,0.49153110386438154,0.112799260679396,0.541516245,0.32490974699999997,0.0,0.0,0.0,0.0,0.008230453,0.329218107,0.164609053,0.452674897,0.04526749,0.0,-3.8749,4.4196,3.3304,1.0892,0.4673076923076923,0.8458333333333333,0.13357400800000008
Ag524-DH,DH,524,6.831,26.221,10.13,2.955,0.096,0.1628516185367679,96.24,35.36,25282,262,0.4988823354177735,0.2360808491273208,0.515267176,0.34351145,0.0,0.0,0.0,0.0,0.007633588,0.114503817,0.305343511,0.534351145,0.038167939,0.0,-3.8818,4.4163,3.3475,1.0688,0.5,0.8441666666666667,0.1412213739999999
Ag538-mTO,mTO,538,10.102,17.732,10.08,2.952,0.113,0.16653152872201085,96.56,35.74,25980,224,0.5004809035037451,0.07082421881740766,0.847133758,0.0,0.0,0.0,0.0,0.0,0.214285714,0.321428571,0.107142857,0.35714285700000004,0.0,0.0,-3.8354,4.3724,3.2985,1.0739,0.4163568773234201,0.84,0.15286624199999999
Ag538-tTH,TH,538,9.597999999999999,18.663,9.9,2.948,0.125,0.16353770348655897,96.51,35.54,25404,191,0.5073544865034676,0.06101969128010448,0.680115274,0.0,0.0,0.0,0.0,0.0,0.376963351,0.376963351,0.12565445,0.12041884800000001,0.0,0.0,-3.7471,4.2827,3.2114,1.0713,0.3550185873605948,0.8250000000000001,0.31988472599999995
Ag539-TH,TH,539,8.176,21.906999999999996,9.88,2.949,0.131,0.16353770348655897,96.61,35.6,25470,189,0.504288878589143,0.09615994773761892,0.642857143,0.0,0.0,0.042328042,0.0,0.0,0.507936508,0.19047619,0.031746032,0.227513228,0.0,0.0,-3.7073,4.2393,3.1755,1.0638,0.35064935064935066,0.8233333333333334,0.35714285700000004
Ag54-DH,DH,54,6.707999999999999,26.704,7.89,2.859,0.177,0.010665502401297324,92.31,34.29,1592,47,0.20614541996881186,0.3895674665452255,0.0,0.0,0.0,0.0,0.106382979,0.0,0.042553191,0.212765957,0.425531915,0.212765957,0.0,0.0,-3.6548,4.7737,2.5407,2.233,0.8703703703703703,0.6575,1.0
Ag550-DH,DH,550,7.709,23.236,10.16,2.9560000000000004,0.095,0.17164598016590782,96.3,35.35,26718,262,0.5038074260638367,0.13228957463103705,0.520833333,0.3125,0.0,0.0,0.0,0.0,0.007633588,0.305343511,0.114503817,0.534351145,0.038167939,0.0,-3.8372,4.3668,3.3077,1.0591,0.4763636363636364,0.8466666666666667,0.166666667
Ag559-DH,DH,559,5.815,30.801,10.14,2.9539999999999997,0.09300000000000001,0.17407846316971246,96.29,35.43,27017,277,0.5151252499111724,0.2965360873184399,0.585106383,0.354609929,0.0,0.0,0.0,0.0,0.007220216999999999,0.180505415,0.252707581,0.541516245,0.018050542,0.0,-3.915,4.433,3.3972,1.0358,0.49552772808586765,0.8450000000000001,0.06028368800000006
Ag55-DH,DH,55,12.613,14.202,7.96,2.866,0.11599999999999999,0.01103973055572881,92.47,33.37,1693,42,0.20628842356473773,0.1529061694519784,0.0,0.7692307690000001,0.0,0.0,0.0,0.23809523800000001,0.166666667,0.23809523800000001,0.35714285700000004,0.0,0.0,0.0,-3.6974,4.2492,2.5592,1.69,0.7636363636363637,0.6633333333333333,0.2307692309999999
Ag55-IH,IH,55,14.249,12.571,8.51,2.897,0.11199999999999999,0.011975300941807522,92.06,33.31,1878,42,0.2050859472733552,0.040279316299763265,0.0,0.0,0.076923077,0.0,0.0,0.0,0.28571428600000004,0.0,0.7142857140000001,0.0,0.0,0.0,-4.093999999999999,5.2468,2.9422,2.3046,0.7636363636363637,0.7091666666666666,0.923076923
Ag561-IH,IH,561,8.607999999999999,20.808000000000003,10.37,2.964,0.11,0.17888105781824987,96.15,34.89,28254,252,0.5054860911478156,0.07293480763640428,0.258899676,0.582524272,0.003236246,0.0,0.0,0.0,0.047619048,0.0,0.47619047600000003,0.47619047600000003,0.0,0.0,-4.0275,4.5585,3.4966,1.0619,0.44919786096256686,0.8641666666666666,0.15533980599999986
Ag568-RO,RO,568,7.733,23.164,10.06,2.951,0.11800000000000001,0.17551300442836648,96.69,35.84,27324,230,0.5116486497959597,0.1457402689900324,0.7159763309999999,0.0,0.0,0.0,0.0,0.0,0.10434782599999999,0.52173913,0.026086957,0.347826087,0.0,0.0,-3.7043,4.2247,3.1839,1.0408,0.40492957746478875,0.8383333333333334,0.2840236690000001
Ag569-DH,DH,569,4.5969999999999995,38.961,10.12,2.952,0.092,0.17688517432794862,96.28,35.45,27412,282,0.5210702908609904,0.37164836998754996,0.609756098,0.348432056,0.0,0.0,0.0,0.0,0.007092199,0.177304965,0.283687943,0.531914894,0.0,0.0,-3.9288,4.4397,3.4182,1.0215,0.4956063268892794,0.8433333333333333,0.0418118460000001
Ag579-RO,RO,579,7.932,22.581999999999997,10.03,2.95,0.12300000000000001,0.17850682966381837,96.57,35.67,27786,204,0.524345557291881,0.10130648219499158,0.728,0.0,0.0,0.0,0.0,0.0,0.235294118,0.529411765,0.0,0.235294118,0.0,0.0,-3.7466,4.2663,3.227,1.0393,0.35233160621761656,0.8358333333333333,0.272
Ag585-DH,DH,585,8.969,19.972,10.22,2.958,0.098,0.18380839518493108,96.34,35.29,28813,267,0.513590065939916,0.10791261632484364,0.628930818,0.314465409,0.0,0.0,0.0,0.0,0.007490637,0.299625468,0.262172285,0.374531835,0.056179775,0.0,-3.9605,4.4819,3.4389999999999996,1.0429,0.4564102564102564,0.8516666666666667,0.05660377300000008
Ag586-TO,TO,586,9.773,18.328,10.2,2.9560000000000004,0.094,0.18374602382585917,96.57,35.84,28740,272,0.512057083374286,0.09614779382689533,0.923566879,0.0,0.0,0.0,0.0,0.0,0.0,0.176470588,0.264705882,0.558823529,0.0,0.0,-3.9061,4.4338,3.3786,1.0552,0.4641638225255973,0.85,0.07643312099999999
Ag592-HO,HO,592,8.724,20.533,10.01,2.95,0.122,0.18224911120813322,96.62,35.68,28440,222,0.5224781093999332,0.06124145684867293,0.7027027029999999,0.0,0.0,0.0,0.0,0.027027027000000002,0.21621621600000002,0.21621621600000002,0.21621621600000002,0.324324324,0.0,0.0,-3.7671,4.2857,3.2486,1.0371,0.375,0.8341666666666666,0.29729729700000007
Ag603-RO,RO,603,8.138,22.011,10.03,2.95,0.126,0.18599139275244808,96.72,35.75,29010,204,0.528850639385201,0.10330281839074303,0.62406015,0.0,0.0,0.0,0.0,0.0,0.117647059,0.764705882,0.0,0.117647059,0.0,0.0,-3.7151,4.2281,3.2021,1.026,0.3383084577114428,0.8358333333333333,0.37593984999999996
Ag605-DH,DH,605,7.135,25.105,10.34,2.967,0.127,0.19247801409592716,96.03,34.95,30198,272,0.5228908226253688,0.17634524929299328,0.33033033,0.36036036,0.0,0.0,0.0,0.0,0.044117647,0.0,0.386029412,0.496323529,0.073529412,0.0,-4.0192,4.533,3.5054,1.0276,0.44958677685950416,0.8616666666666667,0.30930930999999995
Ag606-DH,DH,606,8.141,22.004,10.23,2.96,0.10300000000000001,0.19073161604191355,96.3,35.23,29889,270,0.521124803065521,0.19677859159971967,0.553571429,0.303571429,0.0,0.0,0.0,0.0,0.0074074069999999995,0.16296296300000002,0.251851852,0.474074074,0.10370370400000001,0.0,-3.9186,4.4343,3.403,1.0313,0.44554455445544555,0.8525,0.142857142
Ag609-DH,DH,609,3.655,49.006,10.08,2.957,0.128,0.1887357325516123,96.17,35.34,29132,322,0.539859447260056,0.4779633746001389,0.209059233,0.243902439,0.0,0.0,0.0,0.01552795,0.00621118,0.10869565199999999,0.21739130399999998,0.248447205,0.403726708,0.0,-3.735,4.2265,3.2438,0.9827,0.5287356321839081,0.84,0.547038328
